a.pdf
a.png
b.pdf
g.png
Connected to 1 with unique-ID 9265 on port 5041
Connected to 4 with unique-ID 6228 on port 7831
Connected to 6 with unique-ID 2784 on port 3784
Connected to 7 with unique-ID 5028 on port 7099
Connected to 9 with unique-ID 8603 on port 7536
Connected to 10 with unique-ID 4410 on port 6341
Connected to 13 with unique-ID 4511 on port 2496
Connected to 14 with unique-ID 1785 on port 2418
Connected to 17 with unique-ID 7065 on port 7415
Connected to 18 with unique-ID 8260 on port 5848
Found a.cpp at 1785 with MD5 9d78a7c5f2e5a8a8a1ca7d848547dad8 at depth 1
Found b.cpp at 1785 with MD5 9cae8e9dd40caebf0d34f2f52ce2d1be at depth 1
Found b.png at 2784 with MD5 d6a598c08758a2de7d9081f2d7415dc7 at depth 1
Found c.cpp at 4410 with MD5 d069dcc0a0f8376b4de2aa8c18e109ca at depth 1
Found c.pdf at 2784 with MD5 3005e7acade29d99d451953f9b795e9b at depth 1
Found c.png at 7065 with MD5 9248155f72939ae20094ecbe87fec2d1 at depth 1
Found d.cpp at 8603 with MD5 6a3659780e827646bd7c87fe4317f79d at depth 1
Found d.png at 4511 with MD5 f7d1ceadcba4ffded3e50af9b57b10c1 at depth 1
Found e.cpp at 4410 with MD5 3bdf650da3859ef08a4f6ec7957b1070 at depth 1
Found e.pdf at 4661 with MD5 b4e594e062af4e6177c314d68fb1a81c at depth 2
Found e.png at 4410 with MD5 24cfd760d3f34dbf892c4f051b6f627d at depth 1
Found f.cpp at 2784 with MD5 9d6c9055634fd4025e4f07208b65d5af at depth 1
Found f.pdf at 1785 with MD5 84e64415c3ed04c8fb5f6e10c45fb714 at depth 1
Found f.png at 4511 with MD5 fc53a520718dbe398d55e31c03bb5923 at depth 1
Found g.cpp at 1785 with MD5 609bb6d0e8fce8856c2fe4a535433ef4 at depth 1
Found g.pdf at 4410 with MD5 6f2a5a8709ed96dca9fe38d0fd8eab56 at depth 1
